signal_date,pattern_id,pattern_name,category,prediction_direction,confidence,basis,open,high,low,close,volume,trade_amount,ticker,name
2026-03-26,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,185500.0,185900.0,178900.0,180100.0,32074131.0,5841688287442.0,005930,삼성전자
2026-03-27,bullish_belt_hold,상승 벨트홀드,추세 반전형,up,72,하락 뒤 저가 부근 시가에서 강하게 상승,172100.0,181700.0,172000.0,179700.0,29138966.0,5118700219500.0,005930,삼성전자
2026-03-27,bullish_counterattack,상승 반격형,추세 반전형,up,65,하락 후 반대 양봉이 전일 종가 부근 회복,172100.0,181700.0,172000.0,179700.0,29138966.0,5118700219500.0,005930,삼성전자
2026-03-27,bullish_separating_line,상승 갈림길형,추세 지속형,up,65,같은 시가 부근에서 양봉 전환,172100.0,181700.0,172000.0,179700.0,29138966.0,5118700219500.0,005930,삼성전자
2026-03-27,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,172100.0,181700.0,172000.0,179700.0,29138966.0,5118700219500.0,005930,삼성전자
2026-03-27,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,172100.0,181700.0,172000.0,179700.0,29138966.0,5118700219500.0,005930,삼성전자
2026-03-30,bullish_belt_hold,상승 벨트홀드,추세 반전형,up,72,하락 뒤 저가 부근 시가에서 강하게 상승,171000.0,176650.0,170600.0,176300.0,22269147.0,3880271308850.0,005930,삼성전자
2026-04-01,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,179000.0,190800.0,178000.0,189600.0,32390251.0,5977939247100.0,005930,삼성전자
2026-04-01,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,179000.0,190800.0,178000.0,189600.0,32390251.0,5977939247100.0,005930,삼성전자
2026-04-02,bearish_engulfing,하락 장악형,추세 반전형,down,80,양봉 몸통을 다음 음봉이 감쌈,192600.0,193600.0,175000.0,178400.0,38615231.0,7050417527620.0,005930,삼성전자
2026-04-02,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,192600.0,193600.0,175000.0,178400.0,38615231.0,7050417527620.0,005930,삼성전자
2026-04-02,bearish_counterattack,하락 반격형,추세 반전형,down,65,상승 후 반대 음봉이 전일 종가 부근까지 밀림,192600.0,193600.0,175000.0,178400.0,38615231.0,7050417527620.0,005930,삼성전자
2026-04-02,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,192600.0,193600.0,175000.0,178400.0,38615231.0,7050417527620.0,005930,삼성전자
2026-04-02,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,192600.0,193600.0,175000.0,178400.0,38615231.0,7050417527620.0,005930,삼성전자
2026-04-03,bullish_piercing,상승 관통형,추세 반전형,up,72,전일 음봉 중간 이상 회복,184200.0,187200.0,182700.0,186200.0,20194447.0,3744696012200.0,005930,삼성전자
2026-04-03,bullish_harami,상승 잉태형,추세 반전형,up,70,하락 흐름의 큰 음봉 안에 작은 양봉,184200.0,187200.0,182700.0,186200.0,20194447.0,3744696012200.0,005930,삼성전자
2026-04-03,bullish_counterattack,상승 반격형,추세 반전형,up,65,하락 후 반대 양봉이 전일 종가 부근 회복,184200.0,187200.0,182700.0,186200.0,20194447.0,3744696012200.0,005930,삼성전자
2026-04-06,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,190900.0,194600.0,190100.0,193100.0,20635958.0,3971740401300.0,005930,삼성전자
2026-04-06,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,190900.0,194600.0,190100.0,193100.0,20635958.0,3971740401300.0,005930,삼성전자
