condition_count,condition_key,description,train_n,train_ticker_count,train_avg_return_pct,train_median_return_pct,train_win_rate_pct,train_profit_factor,train_worst_return_pct,validation_n,validation_ticker_count,validation_avg_return_pct,validation_median_return_pct,validation_win_rate_pct,validation_profit_factor,validation_worst_return_pct,train_avg_lift_pct,validation_avg_lift_pct,train_win_rate_lift_pct,validation_win_rate_lift_pct,verdict
2,needs_external_review=True & chg_pct<=-5,needs_external_review=True + 당일 하락률 5% 이상,92,25,2.24,1.67,57.6,1.96,-23.03,102,28,4.45,2.74,67.6,2.71,-24.72,1.71,3.09,10.4,19.2,KEEP
2,window_category=직접반응 & needs_external_review=True,window_category=직접반응 + needs_external_review=True,229,34,1.9,1.09,60.7,1.93,-29.08,189,33,3.68,2.34,65.6,2.66,-42.2,1.37,2.32,13.5,17.2,KEEP
2,amount_tag=거래대금평균상회 & flow_category=외국인기관동반매수,amount_tag=거래대금평균상회 + flow_category=외국인기관동반매수,66,29,2.89,1.11,62.1,2.48,-29.08,54,25,3.98,3.17,70.4,2.65,-42.2,2.36,2.62,14.9,22.0,KEEP
2,amount_tag=거래대금평균상회 & chg_pct<=-7,amount_tag=거래대금평균상회 + 당일 하락률 7% 이상,36,16,1.29,0.12,55.6,1.48,-15.23,70,27,4.23,3.6,64.3,2.53,-33.05,0.76,2.87,8.4,15.9,KEEP
1,chg_pct<=-7,당일 하락률 7% 이상,90,26,1.36,0.39,53.3,1.49,-21.09,131,33,4.14,1.97,59.5,2.37,-33.05,0.83,2.78,6.1,11.1,KEEP
2,amount_tag=거래대금평균상회 & needs_external_review=True,amount_tag=거래대금평균상회 + needs_external_review=True,148,34,1.82,1.08,62.8,2.0,-29.08,110,32,3.08,3.15,68.2,2.35,-42.2,1.29,1.72,15.6,19.8,KEEP
2,flow_category=수급엇갈림 & needs_external_review=True,flow_category=수급엇갈림 + needs_external_review=True,229,33,1.05,0.6,55.0,1.46,-37.92,143,30,2.76,1.63,59.4,2.25,-24.02,0.52,1.4,7.8,11.0,KEEP
2,dart_tag=DART공시동반 & chg_pct<=-7,dart_tag=DART공시동반 + 당일 하락률 7% 이상,65,24,2.19,1.53,55.4,1.93,-12.84,104,30,3.96,1.77,56.7,2.22,-33.05,1.66,2.6,8.2,8.3,KEEP
2,amount_tag=거래대금약함 & flow_category=수급엇갈림,amount_tag=거래대금약함 + flow_category=수급엇갈림,224,33,1.78,0.59,53.1,1.77,-37.92,165,33,2.93,0.15,51.5,2.3,-15.79,1.25,1.57,5.9,3.1,CHECK
2,flow_category=수급엇갈림 & chg_pct<=-5,flow_category=수급엇갈림 + 당일 하락률 5% 이상,128,28,1.16,0.48,54.7,1.46,-23.03,152,31,3.15,0.83,52.6,1.99,-33.05,0.63,1.79,7.5,4.2,CHECK
2,flow_category=수급엇갈림 & chg_pct<=-3,flow_category=수급엇갈림 + 당일 하락률 3% 이상,345,34,1.1,0.08,50.7,1.45,-37.92,288,34,2.55,0.23,51.7,1.96,-33.05,0.57,1.19,3.5,3.3,CHECK
2,amount_tag=거래대금약함 & chg_pct<=-3,amount_tag=거래대금약함 + 당일 하락률 3% 이상,233,30,1.82,0.22,50.2,1.63,-37.92,235,34,2.5,0.09,51.5,1.93,-31.74,1.29,1.14,3.0,3.1,CHECK
1,window_category=선반영,window_category=선반영,87,28,0.66,0.16,51.7,1.29,-23.03,22,16,5.26,5.05,72.7,4.46,-11.13,0.13,3.9,4.5,24.3,DROP
2,window_category=선반영 & chg_pct<=-3,window_category=선반영 + 당일 하락률 3% 이상,71,24,0.39,-0.51,47.9,1.15,-23.03,21,16,5.42,5.49,71.4,4.4,-11.13,-0.14,4.06,0.7,23.0,DROP
2,window_category=누적배경 & needs_external_review=True,window_category=누적배경 + needs_external_review=True,59,25,0.93,0.73,50.8,1.46,-12.67,32,15,7.71,4.85,65.6,4.24,-18.46,0.4,6.35,3.6,17.2,DROP
2,amount_tag=거래대금평균상회 & dart_tag=주변공시부재,amount_tag=거래대금평균상회 + dart_tag=주변공시부재,100,31,-1.29,-1.14,45.0,0.58,-19.33,52,23,4.77,3.51,73.1,4.15,-18.46,-1.82,3.41,-2.2,24.7,DROP
1,window_category=누적배경,window_category=누적배경,66,26,0.75,-0.11,50.0,1.39,-12.67,41,20,6.73,3.08,65.9,3.95,-18.46,0.22,5.37,2.8,17.5,DROP
2,flow_category=외국인기관동반매수 & dart_tag=주변공시부재,flow_category=외국인기관동반매수 + dart_tag=주변공시부재,41,22,0.68,0.75,53.7,1.3,-13.0,24,15,7.56,6.77,75.0,3.9,-24.72,0.15,6.2,6.5,26.6,DROP
2,dart_tag=주변공시부재 & needs_external_review=True,dart_tag=주변공시부재 + needs_external_review=True,145,31,0.75,0.46,51.7,1.32,-23.03,63,24,5.16,4.18,65.1,3.18,-24.72,0.22,3.8,4.5,16.7,DROP
2,amount_tag=거래대금약함 & window_category=누적배경,amount_tag=거래대금약함 + window_category=누적배경,48,25,0.84,0.21,50.0,1.42,-12.67,26,14,5.05,1.24,53.8,3.11,-10.91,0.31,3.69,2.8,5.4,DROP
